n,matrix,residual_mean,residual_std,error_mean,error_std
64,random,7.115137778377284e-14,1.4010116189630666e-14,3.147557966688428e-12,2.0065855752978376e-11
128,random,2.3312240387422994e-13,3.6259091510541634e-14,5.68293806529876e-13,1.0208967802553597e-12
256,random,9.192441354547067e-13,1.3287572399144365e-13,2.2726280757826044e-12,5.274527964259546e-12
512,random,3.894724028597889e-12,3.7272747373427096e-13,3.984733217302998e-12,5.3441480992878594e-12
1024,random,1.7836556659657564e-11,1.7378231574978522e-12,4.825874142597734e-11,1.5509082857183264e-10
